Id,Beds,Baths,ListingType,Area,Population,Schools,Colleges,Universities,Amenties,Airbnbs,CityName,Price,AveragePrice,AboveBelowAvg
M73000004-25844118,3,1,Single Family,824,55750,10,0,0,26,26,Welland,374900,479693,B
M73000004-25844131,2,3,Single Family,1518,21216,0,0,0,0,0,Essex,594900,1049162,B
M73000004-25844270,3,4,Single Family,3000,14967,2,0,0,19,21,Kenora,435000,500069,B
M73000004-25844353,3,3,Single Family,1595,104688,0,0,0,0,1,Brantford,699363,615780,A
M73000004-25844383,3,2,Multi-Family,1440,52662,7,0,0,48,18,North Bay,349900,733603,B
M73000004-25844408,4,4,Single Family,2300,229660,14,1,0,5,32,Windsor,1549900,428016,A
M73000004-25844815,4,3,Single Family,1842,55750,9,1,0,13,33,Welland,899000,479693,A
M73000004-25844884,2,1,Single Family,1042,32901,2,0,0,16,6,Fort Erie,410000,669720,B
M73000004-25844885,2,2,Condo,1070,24811,7,1,0,37,28,Collingwood,587563,616427,B
M73000004-25845009,4,3,Single Family,1300,745,0,0,0,0,0,LARDER LAKE,399900,263700,A
M73000004-25845016,4,2,Single Family,1000,895,2,0,0,0,1,Red Rock,164900,373267,B
M73000004-25845017,3,2,Condo,1280,24811,1,0,0,20,28,Collingwood,650000,616427,A
M73000004-25845101,3,2,Single Family,1788,18615,3,0,0,0,9,Tillsonburg,899900,680068,A
M73000004-25845216,3,2,Rental,1463,186948,4,0,0,3,11,Burlington,3000,1085058,B
M73000004-25845276,4,2,Single Family,1115,136803,9,0,1,61,26,St. Catharines,629900,648367,B
M73000004-25845576,3,1,Single Family,936,21147,0,0,0,0,0,Huntsville,750000,850383,B
M73000004-25845676,2,1,Condo,1005,422324,47,1,0,150,77,London,339000,691690,B
M73000004-25845696,5,9,Single Family,4942,213759,7,0,0,17,11,Oakville,4580000,953919,A
M73000004-25845758,2,2,Single Family,1455,108843,0,0,0,0,0,Thunder Bay,324900,432568,B
M73000004-25845830,4,3,Single Family,2388,11059,1,0,0,9,5,Hamilton,2299900,543702,A
M73000004-25845953,4,2,Multi-Family,1646,42840,0,0,0,3,11,St. Thomas,449000,659641,B
M73000004-25846178,6,4,Single Family,5155,11059,6,0,0,42,15,Hamilton,3477000,543702,A
M73000004-25846211,2,2,Single Family,1760,47845,0,0,0,0,0,Cornwall,888500,457499,A
M73000004-25846639,5,2,Single Family,1434,132485,6,0,1,57,22,Kingston,699900,713186,B
M73000004-25846680,5,4,Single Family,2039,13131,0,0,0,0,0,West Grey,1490000,1173032,A
M73000004-25846829,4,5,Single Family,4006,23017,0,0,0,0,0,Oro-Medonte,1999000,1562528,A
M73000004-25846867,3,4,Single Family,2339,11059,1,0,0,12,2,Hamilton,1550000,543702,A
M73000004-25846879,9,4,Multi-Family,2016,33411,1,0,0,19,16,Orillia,1349000,674312,A
M73000004-25846880,9,4,Single Family,2016,33411,1,0,0,19,16,Orillia,1349000,674312,A
M73000004-25848121,3,3,Single Family,1910,256885,0,0,0,0,0,Kitchener,979900,437374,A
M73000004-25848122,3,3,Single Family,1934,256885,0,0,0,0,0,Kitchener,979900,437374,A
M73000004-25848187,3,2,Condo,1202,11059,2,0,0,32,16,Hamilton,749999,543702,A
M73000004-25848349,4,4,Condo,1901,121436,14,1,2,17,48,Waterloo,874154,527104,A
M73000004-25848350,4,4,Condo,1836,121436,14,1,2,15,48,Waterloo,834923,527104,A
M73000004-25848541,5,5,Single Family,2682,256885,26,1,0,100,37,Kitchener,2335000,437374,A
M73000004-25848542,5,6,Single Family,4002,256885,27,1,0,100,40,Kitchener,2192000,437374,A
M73000004-25848543,5,6,Single Family,3908,256885,27,1,0,100,40,Kitchener,2225000,437374,A
M73000004-25848544,6,7,Single Family,3842,256885,27,1,0,100,40,Kitchener,2185000,437374,A
M73000004-25848545,3,5,Single Family,1950,256885,27,1,0,100,40,Kitchener,1910000,437374,A
M73000004-25848652,5,2,Single Family,1400,5383,2,0,0,17,7,Gananoque,469000,833946,B
M73000004-25848747,3,2,Single Family,1574,9390,0,0,0,24,69,The Blue Mountains,1199900,1066799,A
M73000004-25848759,4,5,Single Family,5100,32721,0,0,0,0,0,LaSalle,2199999,752855,A
M73000004-25848938,6,4,Single Family,2544,256885,36,0,0,103,87,Kitchener,1249000,437374,A
M73000004-25848982,3,3,Single Family,1320,17305,0,0,0,0,0,Bracebridge,6595000,1197393,A
M73000004-25849056,3,2,Single Family,1750,94415,3,0,0,24,25,Niagara Falls,799900,593623,A
M73000004-25849168,5,2,Single Family,2400,1039,0,0,0,0,0,SCHREIBER,149900,146633,A
M73000004-25849186,1,1,Condo,675,143740,4,0,0,26,19,Guelph,539900,640614,B
M73000004-25849231,5,3,Single Family,2208,79247,0,0,0,0,0,Kawartha Lakes,892500,836014,A
M73000004-25849232,2,2,Condo,870,24811,1,0,0,20,27,Collingwood,12000,616427,B
M73000004-25849235,2,2,Condo,1230,21147,2,0,0,29,15,Huntsville,679900,850383,B
M73000004-25849763,5,4,Single Family,3766,33411,9,1,0,44,19,Orillia,1495000,674312,A
M73000004-25849860,4,2,Single Family,2045,229660,2,1,0,6,25,Windsor,475000,428016,A
M73000004-25849962,4,4,Single Family,1890,7386,0,0,0,1,0,St. Marys,675000,719124,B
M73000004-25850735,3,4,Single Family,2964,9038,0,0,0,0,0,West Perth,775000,775000,
